anni8-4 Danzon Nr.2 Marquez 9:41
group|137998,115763,6583813,133403,7060111,5667000,254930,5710565,7227499
ws|4|0.50
group|137998,115763,6583813,133403
kneel|1|1.24
group|7060111,5667000,254930,5710565,7227499
turnleft|1|6.00
group|137998,115763,6583813,133403,7060111,5667000,254930,5710565,7227499
stepleft|1|1.30
stepright|1|1.30
stepleft|2|2.50
stepright|2|2.07
ws|4|0.50
stepleft|1|1.30
stepright|1|1.30
ws|4|0.50
talkhand|1|4.41
beckonsmall|1|2.97
tapfoot|1|4.86
talkhand|1|4.41
stepleft|1|1.30
stepright|1|1.30
stepleft|2|2.50
stepright|2|2.50
stepleft|1|1.30
stepright|1|1.30
ws|4|0.50
taunt|1|4.23
shoo|1|3.05
stop|1|3.15
thumbsup2|1|3.33
stop|1|3.15
shoo|1|3.05
stepleft|1|1.30
stepright|1|1.30
stepleft|2|2.50
stepright|2|2.07
ws|4|0.50
stepleft|3|3.50
stepright|3|3.37
ws|4|0.50
turnleft|1|6.00
stepleft|3|3.50
stepright|3|3.37
ws|4|0.50
stepleft|2|2.50
stepright|2|2.07
ws|4|0.50
stepleft|1|1.30
stepright|1|1.30
ws|4|0.50
shoo|1|3.01
thumbsup2|1|3.33
laugh|1|4.50
fall|1|1.53
cower|1|4.05
taunt|1|4.23
cower|1|4.05
fall|1|1.53
laugh|1|4.50
thumbsup2|1|3.33
stepleft|1|1.30
stepright|1|1.30
stepleft|2|2.50
stepright|2|2.07
ws|4|0.50
stepleft|3|3.50
stepright|3|3.37
ws|4|0.50
group|137998,115763,6583813,133403
walk|1|1.48
groan|1|2.88
cringe|1|2.56
cower|1|4.05
back|1|1.89
wallslide|1|1.20
ws|4|0.50
group|137998,115763,6583813,133403,7060111,5667000,254930,5710565,7227499
cringe|1|2.56
groan|1|2.88
laugh|1|4.50
group|7060111,5667000,254930,5710565,7227499
walk|1|1.48
talkhand|1|4.41
shoo|1|3.04
talkhand|1|4.41
back|1|1.89
wallslide|1|1.20
ws|4|0.50
group|137998,115763,6583813,133403
walk|1|1.48
groan|1|2.88
cringe|1|2.56
back|2|1.89
wallslide|1|1.20
ws|4|0.50
group|137998,115763,6583813,133403,7060111,5667000,254930,5710565,7227499
cringe|1|2.56
groan|1|2.88
group|7060111,5667000,254930,5710565,7227499
walk|1|1.48
talkhand|1|4.41
shoo|1|3.04
talkhand|1|4.41
back|2|1.89
wallslide|1|1.20
ws|4|0.50
group|137998,115763,6583813,133403,7060111,5667000,254930,5710565,7227499
laugh|1|4.50
groan|1|2.88
cringe|1|2.56
groan|1|2.88
laugh|1|4.50
stepleft|1|1.30
stepright|1|1.30
stepleft|2|2.50
stepright|2|2.07
ws|4|0.50
stepleft|3|3.50
stepright|3|3.37
ws|4|0.50
stepleft|2|2.50
stepright|2|2.07
ws|4|0.50
stepleft|1|1.30
stepright|1|1.30
ws|4|0.50
turnleft|1|5.40
stepleft|1|1.30
stepright|1|1.30
stepleft|2|2.50
stepright|2|2.07
ws|4|0.50
stepleft|3|3.50
stepright|3|3.37
ws|4|0.50
stepleft|2|2.50
stepright|2|2.50
stepleft|1|1.30
stepright|1|1.30
ws|4|0.50
groan|1|2.88
shrug|2|4.00
cringe|1|2.56
laugh|1|4.50
stop|2|5.62
group|137998,115763,6583813,133403
walk|1|1.48
back|1|2.08
group|7060111,5667000,254930,5710565,7227499
walk|1|1.48
back|1|2.08
group|137998,115763,6583813,133403,7060111,5667000,254930,5710565,7227499
wallslide|1|1.20
stepleft|2|2.50
stepright|2|2.50
ws|4|0.50
stepleft|1|1.30
stepright|1|1.30
ws|4|0.50
group|7060111,5667000,254930,5710565,7227499
crossarms|1|8.23
tapfoot|1|5.01
group|137998,115763,6583813,133403
groan|1|2.88
cringe|1|2.56
group|7060111,5667000,254930,5710565,7227499
talkhand|1|4.41
shoo|1|3.04
talkhand|1|4.41
group|137998,115763,6583813,133403,7060111,5667000,254930,5710565,7227499
laugh|1|4.50
groan|1|2.88
cringe|1|2.56
groan|1|2.88
laugh|1|4.50
stepleft|1|1.30
stepright|1|1.30
stepleft|2|2.50
stepright|2|2.07
ws|4|0.50
stepleft|3|3.50
stepright|3|3.37
ws|4|0.50
stepleft|2|2.50
stepright|2|2.50
stepleft|1|1.30
stepright|1|1.30
ws|4|0.50
turnleft|1|5.40
stepleft|1|1.30
stepright|1|1.30
stepleft|2|2.50
stepright|2|2.07
ws|4|0.50
stepleft|3|3.50
stepright|3|3.37
ws|4|0.50
stepleft|2|2.50
stepright|2|2.50
stepleft|1|1.30
stepright|1|1.30
ws|4|0.50
laugh|1|4.68
groan|1|2.88
shrug|2|4.00
cringe|1|2.56
laugh|1|4.50
stop|2|5.62
group|137998,115763,6583813,133403
walk|1|1.48
groan|1|2.88
cringe|1|2.56
back|1|1.89
wallslide|1|1.20
ws|4|0.50
group|7060111,5667000,254930,5710565,7227499
walk|1|1.48
talkhand|1|4.41
shoo|1|3.04
talkhand|1|4.41
back|1|1.89
wallslide|1|1.20
ws|4|0.50
group|137998,115763,6583813,133403,7060111,5667000,254930,5710565,7227499
stepleft|1|1.30
stepright|1|1.30
stepleft|2|2.50
stepright|2|2.37
ws|4|0.50
stepleft|3|3.50
stepright|3|3.37
ws|4|0.50
stepleft|2|2.50
stepright|2|2.50
stepleft|1|1.30
stepright|1|1.30
ws|4|0.50
shrug|1|2.50
group|7060111,5667000,254930,5710565,7227499
peer|1|4.50
tapfoot|1|4.86
shrug|1|2.84
group|137998,115763,6583813,133403
wallslide|1|1.12
group|137998,115763,6583813,133403,7060111,5667000,254930,5710565,7227499
laugh|1|4.50
walk|1|1.48
kneel|1|7.00
ws|5|0.00
Ende Tanz 4
