anni10fm1  2:01
group|7939982,8774935,8833724,6551797,124550,254640,137998,5667000,7731330,6961947,9445,6495949,8315178,127131,115763,7923861,8417411,8406189,9692738,21552,60279,59273,60590,7004783,4502269,177149,49430,2614507,9050857,9207298,65289,1000633,6190086,409715,32213,3512832,9061559,4355619,9185855,31420
askquestion|1|10.50
ladderupon|2|3.00
stepleft|2|2.00
floorlevera|2|4.00
pelletbookright|2|2.50
blndfrntleverup|2|3.80
ladderupon|2|3.00
stepright|2|2.00

doorbuttontouch|2|4.50
taunt|1|4.40
crossarms|1|8.40
blndfrntleverup|2|3.80

cheer|1|3.50
walk|1|2.00
treadwaterturnleft|1|4.00
wallslide|3|1.80
steponfloorplate|2|4.30
groundimpact|1|2.00
steponfloorplate|2|4.30
turnleft|1|5.50
cheer|1|3.50

ladderupon|2|3.00
stepright|2|2.00
floorlevera|2|4.00
pelletbookright|2|2.50
blndfrntleverup|2|3.80
ladderupon|2|3.00
stepleft|2|2.00
doorbuttontouch|2|4.50
taunt|1|4.40
crossarms|1|8.40
blndfrntleverup|2|3.80
cheer|1|3.50
walk|1|2.00
treadwaterturnright|1|4.00
wallslide|3|1.80
steponfloorplate|2|4.30
groundimpact|1|2.00
steponfloorplate|2|4.30
turnright|1|5.50
cheer|1|3.50
bow|1|4.30
ENDE
