anni10fm2   2:32
group|7939982,8774935,8833724,6551797,124550,254640,137998,5667000,7731330,6961947,9445,6495949,8315178,127131,115763,7923861,8417411,8406189,9692738,21552,60279,59273,60590,7004783,4502269,177149,49430,2614507,9050857,9207298,65289,1000633,6190086,409715,32213,3512832,9061559,4355619,9185855,31420
peer|1|6.00
point|1|5.30
thx|1|3.10
cheer|1|3.30
insertkihand|1|3.20
kiglance|1|2.80
doorbuttontouch|2|4.30
cheer|1|3.30
turnleft|1|5.50
bookoffer|1|4.00
stop|2|6.00
talkhand|1|4.50
taunt|1|4.30
laugh|1|4.50
pelletbookleft|1|1.20
pelletbookwait|1|1.80
pelletbookright|1|1.30
softlanding|1|2.10
wallslide|1|1.20
peer|1|6.00
point|1|5.30
thx|1|3.10
cheer|1|3.30
insertkihand|1|3.20
kiglance|1|2.80
doorbuttontouch|2|4.30
cheer|1|3.30
turnleft|1|5.50
bookoffer|1|4.00
stop|2|6.00
talkhand|1|4.50
taunt|1|4.30
laugh|1|4.50
pelletbookleft|1|1.20
pelletbookwait|1|1.80
pelletbookright|1|1.30
softlanding|1|2.10
wallslide|1|1.20
cheer|1|3.30
bow|1|6.00
