MED2 - - Mother Earth Day Show Tanz 2
group|5667000,254930,5710565,7060111,7327507,137998,254640,115763,7172637
ws|2|0.50
walk|1|1.50
stepright|2|2.50
back|1|1.90
stepleft|2|2.50
wallslide|1|1.20
ws|2|0.50
stepleft|2|2.50
walk|1|1.50
stepright|2|2.50
back|1|1.90
wallslide|1|1.20
ws|2|0.50
walk|1|1.50
stepleft|2|2.50
walk|1|1.50
stepleft|2|2.50
wallslide|1|1.20
back|1|1.90
stepright|2|2.50
back|1|1.90
wallslide|1|1.20
stepright|2|2.50
ws|2|0.50
walk|1|1.50
stepleft|2|2.50
back|1|1.90
stepright|2|2.50
wallslide|1|1.20
ws|2|0.50
walk|1|1.50
stepright|2|2.50
walk|1|1.50
stepleft|2|2.50
back|1|1.90
wallslide|1|1.20
turnleft|1|5.40
back|1|1.90
wallslide|1|1.20
ws|2|0.50
walk|1|1.50
stepright|2|2.50
back|1|1.90
wallslide|1|1.20
stepleft|2|2.50
ws|2|0.50
walk|1|1.50
back|1|1.90
stepright|2|2.50
stepleft|2|2.50
wallslide|1|1.20
ws|2|0.50
walk|1|1.50
back|1|1.90
stepright|2|2.50
walk|1|1.50
back|1|1.90
stepleft|2|2.50
wallslide|1|1.20
wallslide|1|1.20
ws|2|0.50
stepright|2|2.50
stepright|2|3.00
stepleft|2|2.50
stepleft|2|2.50
ws|2|0.50
walk|1|1.50
stepright|2|2.50
back|1|1.90
stepleft|2|2.50
wallslide|1|1.20
ws|2|0.50
walk|1|1.50
stepright|2|2.50
walk|1|1.50
stepleft|2|2.50
back|1|1.90
wallslide|1|1.20
wallslide|1|1.20
back|1|1.90
ws|2|0.50
stepleft|2|2.50
stepright|2|3.00
stepright|2|2.50
stepleft|2|2.50
ws|2|0.50
walk|1|1.50
back|1|1.90
wallslide|1|1.20
ws|2|0.50
kneel|1|7.00
ws|3|1.00
ENDE
